X, Y
50.9861, -17.7970
51.1063, -11.7845
57.9606, -13.1073
61.6883, -17.3160
69.5046, -12.2655
69.7451, -9.6200
72.8716, -10.1010
77.4411, -16.1135
80.5676, -20.8033
79.9663, -24.1703
85.1371, -28.3790
84.8966, -33.1890
83.3334, -38.4800
89.1054, -41.3661
91.6306, -41.9673
91.8711, -47.8596
84.6561, -50.5051
78.4031, -49.3026
75.6373, -43.8913
70.7071, -42.4483
61.8086, -42.9293
55.7961, -43.0496
56.2771, -40.5243
52.0683, -37.7585
51.4671, -31.5055
53.1506, -27.6575
48.2203, -25.4930
46.7773, -22.1260
