X,Y
7.937,26.335
8.057,26.335
8.057,26.455
8.418,26.455
8.418,26.696
8.538,26.696
8.538,26.936
8.778,26.936
8.778,27.417
8.899,27.417
8.899,27.297
9.259,27.297
9.259,27.056
9.380,27.056
9.380,26.936
9.500,26.936
9.500,27.056
10.101,27.056
10.101,27.177
10.221,27.177
10.221,27.056
10.342,27.056
10.342,26.936
10.462,26.936
10.462,27.056
10.582,27.056
10.582,26.936
10.702,26.936
10.702,27.056
10.943,27.056
10.943,27.297
11.183,27.297
11.183,27.417
10.943,27.417
10.943,27.537
11.304,27.537
11.304,27.778
11.424,27.778
11.424,27.658
11.544,27.658
11.544,27.778
11.664,27.778
11.664,27.537
11.785,27.537
11.785,27.658
11.905,27.658
11.905,27.537
12.145,27.537
12.145,27.658
12.386,27.658
12.386,27.778
12.506,27.778
12.506,27.898
12.626,27.898
12.626,28.018
13.107,28.018
13.107,28.139
13.468,28.139
13.468,28.379
13.709,28.379
13.709,28.499
13.829,28.499
13.829,28.379
14.550,28.379
14.550,28.259
14.671,28.259
14.671,28.379
15.152,28.379
15.152,28.259
15.031,28.259
15.031,28.139
15.392,28.139
15.392,27.898
15.512,27.898
15.512,27.778
15.633,27.778
15.633,27.658
15.753,27.658
15.753,27.537
15.993,27.537
15.993,27.658
16.114,27.658
16.114,27.537
16.234,27.537
16.234,27.658
16.474,27.658
16.474,27.778
16.595,27.778
16.595,27.898
16.835,27.898
16.835,28.018
16.955,28.018
16.955,28.139
17.076,28.139
17.076,28.379
17.196,28.379
17.196,28.620
17.316,28.620
17.316,28.860
17.436,28.860
17.436,28.980
17.316,28.980
17.316,28.860
17.196,28.860
17.196,28.980
17.076,28.980
17.076,29.101
17.196,29.101
17.196,29.221
17.076,29.221
17.076,29.101
16.955,29.101
16.955,29.221
16.835,29.221
16.835,29.101
16.715,29.101
16.715,29.221
16.595,29.221
16.595,29.341
16.354,29.341
16.354,29.461
16.474,29.461
16.474,29.582
16.595,29.582
16.595,29.702
16.474,29.702
16.474,30.063
16.595,30.063
16.595,30.303
16.114,30.303
16.114,30.183
15.993,30.183
15.993,30.303
15.873,30.303
15.873,30.423
15.753,30.423
15.753,30.664
15.873,30.664
15.873,30.544
16.114,30.544
16.114,30.423
16.234,30.423
16.234,30.544
16.715,30.544
16.715,30.664
17.076,30.664
17.076,30.784
17.196,30.784
17.196,30.664
17.436,30.664
17.436,30.544
17.557,30.544
17.557,30.664
17.797,30.664
17.797,30.544
17.917,30.544
17.917,30.664
18.038,30.664
18.038,30.784
18.158,30.784
18.158,30.904
18.398,30.904
18.398,31.145
18.158,31.145
18.158,31.265
18.038,31.265
18.038,31.385
18.278,31.385
18.278,31.506
18.158,31.506
18.158,31.626
18.038,31.626
18.038,31.866
17.797,31.866
17.797,31.987
17.677,31.987
17.677,31.866
17.557,31.866
17.557,32.107
17.436,32.107
17.436,32.227
17.316,32.227
17.316,32.347
17.436,32.347
17.436,32.468
17.557,32.468
17.557,32.588
17.677,32.588
17.677,32.828
17.917,32.828
17.917,33.069
18.158,33.069
18.158,33.189
18.278,33.189
18.278,33.430
18.158,33.430
18.158,33.550
18.038,33.550
18.038,33.670
17.917,33.670
17.917,34.031
18.038,34.031
18.038,34.512
18.158,34.512
18.158,34.632
18.278,34.632
18.278,34.752
18.158,34.752
18.158,34.873
18.278,34.873
18.278,34.993
18.158,34.993
18.158,35.113
18.038,35.113
18.038,35.233
18.158,35.233
18.158,35.594
18.398,35.594
18.398,35.714
18.519,35.714
18.519,35.835
18.639,35.835
18.639,35.955
18.879,35.955
18.879,36.075
18.759,36.075
18.759,36.195
18.879,36.195
18.879,36.436
19.120,36.436
19.120,36.676
19.000,36.676
19.000,36.797
19.120,36.797
19.120,37.037
19.240,37.037
19.240,37.157
19.120,37.157
19.120,37.278
19.000,37.278
19.000,37.398
18.759,37.398
18.759,37.518
18.398,37.518
18.398,37.157
18.278,37.157
18.278,37.037
18.158,37.037
18.158,36.917
18.038,36.917
18.038,36.556
17.917,36.556
17.917,36.436
17.797,36.436
17.797,36.316
17.677,36.316
17.677,35.955
17.557,35.955
17.557,35.714
17.677,35.714
17.677,35.594
17.557,35.594
17.557,35.474
17.436,35.474
17.436,35.354
17.316,35.354
17.316,35.233
17.196,35.233
17.196,34.993
17.316,34.993
17.316,34.873
17.196,34.873
17.196,34.632
17.076,34.632
17.076,34.512
16.955,34.512
16.955,34.392
17.076,34.392
17.076,34.271
16.955,34.271
16.955,34.151
16.835,34.151
16.835,34.271
16.595,34.271
16.595,34.392
16.354,34.392
16.354,34.632
16.234,34.632
16.234,35.113
16.114,35.113
16.114,35.354
15.993,35.354
15.993,35.594
15.272,35.594
15.272,35.474
15.152,35.474
15.152,35.594
14.911,35.594
14.911,35.474
14.791,35.474
14.791,35.594
14.550,35.594
14.550,35.835
13.709,35.835
13.709,35.594
13.348,35.594
13.348,35.714
13.228,35.714
13.228,35.835
13.107,35.835
13.107,35.714
12.987,35.714
12.987,35.594
12.747,35.594
12.747,35.474
12.626,35.474
12.626,35.354
12.506,35.354
12.506,35.233
12.386,35.233
12.386,35.113
12.506,35.113
12.506,34.993
12.386,34.993
12.386,34.873
12.506,34.873
12.506,34.993
12.626,34.993
12.626,34.752
12.987,34.752
12.987,34.632
13.107,34.632
13.107,34.512
14.069,34.512
14.069,34.271
13.949,34.271
13.949,34.392
13.709,34.392
13.709,34.271
13.949,34.271
13.949,34.151
13.709,34.151
13.709,34.031
13.588,34.031
13.588,34.151
13.468,34.151
13.468,33.911
13.348,33.911
13.348,34.151
13.107,34.151
13.107,34.271
12.867,34.271
12.867,34.392
12.626,34.392
12.626,34.512
12.386,34.512
12.386,34.632
12.266,34.632
12.266,34.512
11.664,34.512
11.664,34.271
11.304,34.271
11.304,34.151
11.183,34.151
11.183,34.031
11.063,34.031
11.063,33.790
10.462,33.790
10.462,33.911
10.342,33.911
10.342,34.031
10.221,34.031
10.221,34.151
10.101,34.151
10.101,34.271
10.221,34.271
10.221,34.392
9.861,34.392
9.861,34.632
9.620,34.632
9.620,34.752
9.019,34.752
9.019,34.632
8.538,34.632
8.538,34.512
8.297,34.512
8.297,34.392
8.057,34.392
8.057,34.271
7.576,34.271
7.576,34.392
7.696,34.392
7.696,34.512
7.576,34.512
7.576,34.632
7.456,34.632
7.456,34.993
7.335,34.993
7.335,35.113
6.734,35.113
6.734,34.993
6.614,34.993
6.614,34.873
6.494,34.873
6.494,34.752
6.373,34.752
6.373,34.271
6.494,34.271
6.494,34.151
6.373,34.151
